SimulationTime	VehicleID	x	y	speed	angle
1001.00	PKW4871	2373.22	2681.28	5.20	273.06
1001.00	PKW3991	3052.33	721.51	13.89	104.88
1001.00	PKW5511	2595.28	2535.71	13.89	129.77
1001.00	PKW5545	2341.21	934.30	13.89	108.76
1001.00	PKW4765	1537.46	715.16	13.89	46.39
1001.00	PKW5561	337.66	1045.79	13.89	87.77
1001.00	LKW242	2585.22	531.18	3.90	86.28
1001.00	LKW243	2055.97	1721.21	0.00	110.92
1001.00	PKW5112	1492.44	1074.94	8.57	338.35
1001.00	PKW3477	1448.70	3098.34	13.89	308.46
1001.00	PKW4486	1397.68	3138.86	13.89	308.46
1001.00	PKW4890	1859.85	1833.52	0.00	215.00
1001.00	PKW4277	1632.87	1425.00	13.89	207.58
1001.00	PKW5156	2177.19	1009.71	13.89	286.24
1001.00	routeFlow_bus34Hc.1	2558.68	1188.74	13.72	175.68
1001.00	PKW5411	1987.83	1527.79	13.89	215.56
1001.00	PKW4061	1079.38	2066.35	13.89	345.61
1001.00	PKW3998	1602.07	2976.51	13.89	308.46
1001.00	PKW4482	1521.17	1222.13	0.00	209.89
1001.00	PKW5274	1640.46	575.61	5.20	95.73
1001.00	PKW5148	1693.58	574.10	13.00	92.22
1001.00	PKW5046	3044.25	2084.12	13.89	114.83
1001.00	PKW5334	2736.79	2428.70	10.40	132.31
1001.00	PKW4396	1357.38	1301.69	13.89	305.98
1001.00	PKW5019	1774.47	1080.00	0.00	288.52
1001.00	PKW3252	3764.50	1937.84	13.89	93.65
1001.00	PKW5210	1211.96	1083.00	13.89	87.77
1001.00	PKW5077	2837.79	2298.63	0.00	146.60
1001.00	PKW4803	3016.80	1985.59	13.89	93.65
1001.00	PKW5097	1964.92	1962.28	8.95	228.28
1001.00	LKW225	2851.37	2221.77	7.80	21.27
1001.00	PKW5524	2792.36	2136.74	13.89	199.52
1001.00	PKW4338	2375.45	923.08	0.00	107.95
1001.00	PKW3341	3059.49	1982.87	13.89	93.65
1001.00	LKW235	1345.28	3180.49	13.89	308.46
1001.00	PKW5492	2781.52	2106.40	0.00	200.07
1001.00	PKW5407	2906.61	2231.95	0.00	332.60
1001.00	PKW4477	2952.76	1989.68	13.89	93.65
1001.00	PKW4077	1067.64	2112.08	13.89	345.61
1001.00	PKW5384	1451.71	673.70	0.00	129.52
1001.00	PKW4731	2969.63	743.48	13.89	104.88
1001.00	PKW5362	823.45	1064.68	13.89	87.77
1001.00	LKW251	2332.51	2679.53	4.40	270.47
1001.00	PKW5315	2690.57	816.61	13.89	103.81
1001.00	PKW4032	1966.53	2638.40	8.34	25.11
1001.00	PKW4679	1999.56	1016.29	0.00	93.42
1001.00	PKW4805	2814.92	2123.94	0.00	19.92
1001.00	PKW5237	1924.56	2701.32	13.80	124.52
1001.00	PKW5402	1132.81	1727.66	13.89	182.21
1001.00	PKW3644	1971.30	2648.58	0.00	25.11
1001.00	PKW4336	2859.18	2243.46	13.00	11.57
1001.00	PKW5433	1732.82	1853.42	13.89	108.41
1001.00	PKW5190	2767.77	2079.88	0.00	203.15
1001.00	PKW5365	1864.59	2336.84	2.60	190.71
1001.00	LKW230	2001.32	1972.37	13.00	46.83
1001.00	PKW4888	2319.11	2679.49	5.61	269.02
1001.00	PKW4617	1836.54	1254.55	13.89	27.02
1001.00	PKW4291	2805.26	2340.05	4.62	146.37
1001.00	PKW5040	2552.67	1255.88	12.13	172.71
1001.00	PKW4368	2841.02	2360.21	13.89	334.08
1001.00	PKW5380	1447.66	668.75	0.00	129.52
1001.00	PKW4966	1925.82	1978.90	13.89	324.84
1001.00	PKW5169	2091.86	469.25	2.60	264.95
1001.00	LKW253	1705.47	1050.08	0.00	106.50
1002.00	PKW4984	2014.54	1015.50	0.00	92.16
1002.00	PKW5468	2519.47	590.58	0.00	291.56
1002.00	PKW5316	1900.35	1375.41	0.00	29.79
1002.00	PKW5082	1163.20	1609.08	13.89	351.06
1002.00	PKW4999	1869.13	2343.63	2.60	190.66
1002.00	PKW5128	1420.15	1091.10	13.89	87.77
1002.00	PKW5447	2793.93	2961.16	13.89	178.68
1002.00	PKW5522	2784.10	2113.44	3.96	199.53
1002.00	PKW4529	1890.48	1355.09	0.00	39.34
1002.00	PKW5192	2233.26	995.12	10.76	288.23
1002.00	PKW5498	1379.00	1889.47	0.00	4.50
1002.00	PKW4801	1327.83	1097.11	13.89	267.77
1002.00	PKW5427	2363.72	2780.47	13.89	146.79
1002.00	PKW5552	1990.18	467.49	13.89	279.04
1002.00	PKW5253	1760.11	1084.37	5.20	283.97
